entity,n_with,mean_target_with,enc_with,global_mean_with,n_without,mean_target_without,enc_without,global_mean_without,obs_gained,enc_abs_diff,entity_col
BOW CREEK,1,8.517193191416238,9.310491817000436,9.389821679558855,1,8.517193191416238,9.299224554542295,9.377427690854901,0,0.011267262458140692,sire_target_enc
BRAZEN BEAU,23,9.001245711280871,9.118996004698444,9.389821679558855,19,8.972366944421427,9.112043063881245,9.377427690854901,4,0.006952940817198439,sire_target_enc
BROKEN VOW,3,10.948652291179178,9.749551820702006,9.389821679558855,3,10.948652291179178,9.740017983237426,9.377427690854901,0,0.009533837464580586,sire_target_enc
BUNGLE INTHEJUNGLE,51,9.160921923275296,9.198446473485715,9.389821679558855,46,9.158453209125733,9.1975557951488,9.377427690854901,5,0.0008906783369155846,sire_target_enc
BURATINO,10,9.270972750566235,9.330397215062545,9.389821679558855,8,8.992208938068314,9.206219356283084,9.377427690854901,2,0.1241778587794613,sire_target_enc
BURWAAZ,1,8.006367567650246,9.2640531239308,9.389821679558855,1,8.006367567650246,9.25278586147266,9.377427690854901,0,0.011267262458140692,sire_target_enc
BUSHRANGER,47,8.862517158332349,8.955026723459806,9.389821679558855,40,8.735922921100634,8.864223875051488,9.377427690854901,7,0.09080284840831787,sire_target_enc
BYRON,21,9.092408578767513,9.188348288700203,9.389821679558855,17,9.05799352828859,9.176302477387223,9.377427690854901,4,0.012045811312979993,sire_target_enc
CABLE BAY,36,8.818831452271347,8.94295976255124,9.389821679558855,35,8.873433628651037,8.985432309140785,9.377427690854901,1,0.042472546589545246,sire_target_enc
CACIQUE,31,9.295311181433958,9.318362522440031,9.389821679558855,28,9.273148456113224,9.300590359992615,9.377427690854901,3,0.017772162447416306,sire_target_enc
CADEAUX GENEREUX,26,9.15952863630871,9.223498926100417,9.389821679558855,26,9.15952863630871,9.22005615146043,9.377427690854901,0,0.0034427746399874337,sire_target_enc
CALYX,15,9.593348466532417,9.511937751742993,9.389821679558855,13,9.511922843229451,9.453446690023124,9.377427690854901,2,0.0584910617198684,sire_target_enc
CAMACHO,100,8.752519483254801,8.810456046555169,9.389821679558855,86,8.738564151200562,8.805112436581222,9.377427690854901,14,0.0053436099739467835,sire_target_enc
CAMELOT,86,9.972450280815071,9.911759801517547,9.389821679558855,82,10.018425723381378,9.948752024193718,9.377427690854901,4,0.03699222267617053,sire_target_enc
CAMPANOLOGIST,2,8.888161863780926,9.306211710262533,9.389821679558855,2,8.888161863780926,9.295883386342572,9.377427690854901,0,0.010328323919960525,sire_target_enc
CANDY RIDE,3,9.562937136692135,9.429771400435765,9.389821679558855,3,9.562937136692135,9.420237562971185,9.377427690854901,0,0.009533837464580586,sire_target_enc
CANFORD CLIFFS,57,9.455273130174826,9.44550425694856,9.389821679558855,54,9.400567923146715,9.39695226185112,9.377427690854901,3,0.04855199509744068,sire_target_enc
CANNOCK CHASE,1,8.699514748210191,9.327066503981705,9.389821679558855,1,8.699514748210191,9.315799241523564,9.377427690854901,0,0.011267262458140692,sire_target_enc
CAPE BLANCO,8,10.16300201562491,9.733457384477102,9.389821679558855,8,10.16300201562491,9.726571835197127,9.377427690854901,0,0.006885549279974867,sire_target_enc
CAPE CROSS,147,9.624431751610008,9.60948843491885,9.389821679558855,137,9.603410280293248,9.588037315025334,9.377427690854901,10,0.021451119893516335,sire_target_enc
CAPPELLA SANSEVERO,5,7.854994968661036,8.878212775926249,9.389821679558855,5,7.854994968661036,8.86995011679028,9.377427690854901,0,0.00826265913596913,sire_target_enc
CAPTAIN AL,1,8.987196820661973,9.353219419659139,9.389821679558855,1,8.987196820661973,9.341952157201,9.377427690854901,0,0.011267262458138916,sire_target_enc
CAPTAIN GERRARD,13,9.141232435634295,9.249314715601496,9.389821679558855,12,9.101684681930124,9.227022413259569,9.377427690854901,1,0.022292302341927694,sire_target_enc
CAPTAIN MARVELOUS,3,8.57796704368089,9.202470609740864,9.389821679558855,3,8.57796704368089,9.192936772276283,9.377427690854901,0,0.009533837464580586,sire_target_enc
CAPTAIN RIO,40,8.926000883669325,9.01876504284723,9.389821679558855,36,8.846503420537045,8.961921740171363,9.377427690854901,4,0.056843302675867236,sire_target_enc
CARADAK,1,8.160518247477505,9.278066822096916,9.389821679558855,1,8.160518247477505,9.266799559638775,9.377427690854901,0,0.011267262458140692,sire_target_enc
CARAVAGGIO,24,9.443500481892144,9.427712598852942,9.389821679558855,24,9.443500481892144,9.424067308057662,9.377427690854901,0,0.0036452907952799762,sire_target_enc
CARNIVAL DANCER,2,7.2543288692621095,9.033906211176065,9.389821679558855,1,6.907755278982137,9.152912017048287,9.377427690854901,1,0.11900580587222187,sire_target_enc
CASAMENTO,38,9.062608923334011,9.13077824754752,9.389821679558855,37,9.126879117811471,9.180187324841988,9.377427690854901,1,0.04940907729446842,sire_target_enc
CASEY TIBBS,1,9.546812608597396,9.404093582198723,9.389821679558855,1,9.546812608597396,9.392826319740582,9.377427690854901,0,0.011267262458140692,sire_target_enc
CATALINA CRUISER,1,9.546812608597396,9.404093582198723,9.389821679558855,1,9.546812608597396,9.392826319740582,9.377427690854901,0,0.011267262458140692,sire_target_enc
CATCHER IN THE RYE,6,8.850601571589918,9.187614139070504,9.389821679558855,5,8.742189500153874,9.165681627287892,9.377427690854901,1,0.02193251178261235,sire_target_enc
CELTIC SWING,9,8.816748580734059,9.118366001168162,9.389821679558855,8,8.812133974821135,9.126186039284338,9.377427690854901,1,0.00782003811617571,sire_target_enc
CHAMPS ELYSEES,96,9.79820643795828,9.759679573958334,9.389821679558855,88,9.757950541021849,9.719121678759917,9.377427690854901,8,0.04055789519841646,sire_target_enc
CHAPEL ROYAL,3,8.28561037077393,9.135003685223873,9.389821679558855,3,8.28561037077393,9.125469847759293,9.377427690854901,0,0.009533837464580586,sire_target_enc
CHARM SPIRIT,46,9.450345604634048,9.439537760870621,9.389821679558855,43,9.404112244096174,9.399077422729896,9.377427690854901,3,0.04046033814072558,sire_target_enc
CHARMING THOUGHT,11,8.81589224063303,9.08919197345485,9.389821679558855,9,8.862011856370767,9.133283348204522,9.377427690854901,2,0.044091374749671175,sire_target_enc
CHEROKEE RUN,3,8.673861067831483,9.224599999929463,9.389821679558855,3,8.673861067831483,9.215066162464883,9.377427690854901,0,0.009533837464580586,sire_target_enc
CHEVALIER,9,9.217279966968766,9.30809139464776,9.389821679558855,7,8.995174720121812,9.220029408788335,9.377427690854901,2,0.08806198585942582,sire_target_enc
CHIEF SEATTLE,1,8.612503371220562,9.319156378800828,9.389821679558855,1,8.612503371220562,9.307889116342688,9.377427690854901,0,0.011267262458140692,sire_target_enc
CHINEUR,10,8.706276766977691,9.048049223268274,9.389821679558855,9,8.675063427679437,9.044728829350735,9.377427690854901,1,0.003320393917539022,sire_target_enc
CHOISIR,51,9.114379413583535,9.159533883415556,9.389821679558855,47,9.057825595454963,9.113896138507585,9.377427690854901,4,0.04563774490797101,sire_target_enc
CHURCHILL,67,9.756554501461487,9.708926862253351,9.389821679558855,62,9.722329354415903,9.674426345587987,9.377427690854901,5,0.034500516665364245,sire_target_enc
CITY LIGHT,3,8.517193191416238,9.188445874602866,9.389821679558855,2,9.321912147633288,9.368175100317965,9.377427690854901,1,0.1797292257150982,sire_target_enc
